sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
2,NR,5G(SA),405,864,144,3231055873,34,18.5408085,73.7275146,-52,,6.5,1771750199720,1.2,303.9,545.1,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5408316,73.7275046,-52,,5.7,1771750204275,0.8,311.5,545.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5408567,73.727449,-58,,6.6,1771750209135,1.1,294.4,545.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5408753,73.7273759,-66,,7.1,1771750213759,1.3,300.1,545.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5408863,73.7273189,-66,,6.3,1771750218853,1.0,330.4,544.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409217,73.7273279,-70,,6.0,1771750223497,0.8,303.1,544.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409549,73.7273082,-62,,5.9,1771750228877,1.0,303.4,545.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409303,73.7272704,-68,,6.5,1771750233868,1.0,193.3,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.54091,73.7273072,-65,,5.5,1771750238681,0.5,91.9,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409277,73.7273599,-54,,5.1,1771750243391,1.1,64.7,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409836,73.7274187,-54,,5.5,1771750248301,1.3,39.2,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5410252,73.7274732,-59,,6.1,1771750252936,1.4,52.4,545.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5410574,73.7275118,-64,,6.4,1771750258156,1.0,61.9,545.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5410997,73.7275267,-68,,6.4,1771750262956,1.1,355.8,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5411446,73.7275101,-67,,6.6,1771750267794,1.0,357.8,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.541172,73.727505,-61,,6.3,1771750273340,0.7,82.2,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5411582,73.7275438,-54,,5.6,1771750277977,0.6,150.7,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5411169,73.7275387,-63,,5.4,1771750282734,1.0,179.5,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5410656,73.7275519,-65,,5.9,1771750287720,1.1,164.7,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5410227,73.727587,-72,,4.8,1771750292275,1.1,162.9,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409752,73.7276262,-69,,4.5,1771750297174,1.2,139.7,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409447,73.7276912,-67,,6.9,1771750302737,1.3,108.3,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409415,73.7277706,-61,,6.1,1771750307256,1.3,95.5,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409365,73.7278566,-64,,5.8,1771750312857,1.3,88.0,544.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409253,73.7279105,-73,,5.8,1771750317579,1.3,66.7,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409463,73.7279195,-57,,5.9,1771750322174,1.1,20.0,545.5,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5409775,73.7279244,-72,,5.7,1771750326975,1.1,16.1,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5410019,73.7279395,-85,,5.3,1771750331619,1.0,14.9,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5410436,73.7279577,-84,,5.1,1771750336517,1.1,33.2,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5410722,73.727983,-85,,5.5,1771750341678,0.9,56.7,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5410936,73.7280261,-95,,6.1,1771750346578,1.1,86.3,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5411115,73.7280922,-105,,7.8,1771750352014,1.2,70.9,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5411334,73.7281377,-96,,9.1,1771750356797,1.0,83.6,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5411526,73.7281989,-98,,10.2,1771750362956,0.9,50.6,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5411811,73.7282189,-105,,11.6,1771750368714,0.9,34.4,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5411964,73.7282548,-114,,13.5,1771750373436,1.0,53.6,542.7,35,Nothing_A142
2,LTE,LTE,405,864,144,4687665,385,18.5411941,73.728322,-104,4,14.2,1771750378278,1.1,88.3,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055889,214,18.5411665,73.7283718,-104,,13.2,1771750383328,1.2,84.1,542.6,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055889,214,18.5411535,73.7284453,-109,,11.5,1771750389001,1.1,51.4,542.6,35,Nothing_A142
2,LTE,LTE,405,864,144,2843930,226,18.5412343,73.7284649,-120,6,9.9,1771750393820,1.1,358.3,542.7,35,Nothing_A142
2,LTE,LTE,405,864,144,2843930,226,18.5412872,73.7284688,-113,6,9.1,1771750398553,1.1,340.5,542.6,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5413187,73.7284896,-98,,8.9,1771750403461,1.0,29.2,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5413466,73.7285015,-94,,9.3,1771750408436,0.7,34.3,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5413396,73.7284775,-98,,8.2,1771750413179,1.0,317.2,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5413804,73.7284507,-99,,7.3,1771750419397,1.0,13.9,543.1,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414009,73.7284014,-97,,9.0,1771750423916,0.9,292.3,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414266,73.7282362,-96,,9.5,1771750429615,0.9,285.7,548.1,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414441,73.7281865,-99,,5.7,1771750434855,0.9,296.9,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414575,73.7281668,-94,,7.0,1771750439579,0.7,310.0,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414564,73.7281602,-98,,6.1,1771750444556,0.7,342.5,543.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414513,73.7281626,-104,,6.2,1771750449874,0.2,274.4,543.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414405,73.7281501,-90,,4.7,1771750454459,0.4,291.6,543.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.541435,73.7281407,-91,,5.5,1771750459777,0.6,329.9,543.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414368,73.7281469,-98,,5.8,1771750464521,0.7,10.0,543.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414567,73.728219,-98,,7.9,1771750470034,1.1,58.3,543.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414603,73.7282715,-96,,8.7,1771750474717,1.0,40.2,543.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414265,73.7283111,-106,,10.2,1771750480339,0.8,116.4,543.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5413631,73.7283424,-102,,8.0,1771750485120,1.2,79.0,543.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5413739,73.7283558,-107,,6.2,1771750489638,1.0,77.4,543.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414137,73.7283627,-105,,5.9,1771750494575,0.8,338.7,546.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055888,33,18.5414661,73.7283441,-85,,6.7,1771750500059,0.8,319.8,546.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055888,33,18.5415095,73.7283204,-103,,8.9,1771750505232,1.1,13.9,546.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5415988,73.7282254,-97,,7.8,1771750510163,1.2,334.2,546.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5416281,73.728173,-99,,7.4,1771750514755,1.1,242.9,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5416059,73.7281287,-92,,7.4,1771750519821,1.1,261.6,546.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5415718,73.7280776,-98,,10.8,1771750524514,1.2,225.4,546.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5415381,73.7279947,-87,,9.5,1771750530418,1.2,251.0,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414928,73.7279723,-87,,10.7,1771750535243,1.1,210.8,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414679,73.7279653,-72,,11.2,1771750539795,0.9,133.6,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5414783,73.7280031,-73,,10.9,1771750544632,0.6,103.0,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5415012,73.7280542,-82,,11.1,1771750549813,0.9,64.2,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5415524,73.7281104,-103,,10.0,1771750554655,1.0,59.9,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5415786,73.7281307,-97,,9.8,1771750559876,0.8,76.6,546.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5415921,73.7281411,-100,,10.1,1771750564734,0.9,57.4,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5416256,73.7281778,-97,,9.6,1771750569956,1.2,62.5,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.541647,73.7282194,-89,,9.5,1771750574601,1.0,64.7,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5416761,73.7282503,-97,,9.5,1771750580261,1.1,54.0,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5416949,73.7282742,-101,,10.1,1771750585237,0.9,65.6,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5417152,73.7282907,-98,,11.5,1771750590655,1.0,354.4,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5417706,73.7282672,-92,,13.0,1771750596793,1.0,294.6,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5416951,73.7281942,-106,,26.1,1771750605943,1.1,208.8,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482945,463,18.5416723,73.7281577,-101,,27.0,1771750611114,0.6,241.1,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482945,463,18.541685,73.7281525,-114,,15.6,1771750616220,0.5,260.0,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5416976,73.7281704,-105,,9.6,1771750622883,0.4,316.5,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5416868,73.7282027,-100,,7.9,1771750627871,0.1,0.0,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5416762,73.7282365,-104,,7.3,1771750632378,0.1,98.5,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5416632,73.7282544,-114,,7.9,1771750637453,0.5,143.2,546.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482945,463,18.5416285,73.7282952,-116,,11.5,1771750642194,1.2,126.8,546.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055872,33,18.5416538,73.7283336,-110,,12.0,1771750648340,0.5,331.5,546.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482945,463,18.5416607,73.7283356,-106,,11.4,1771750652841,0.2,309.1,546.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482945,463,18.5416556,73.7283322,-114,,10.6,1771750660894,0.2,61.3,546.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482945,463,18.5416606,73.7283384,-104,,9.5,1771750666780,0.1,42.7,546.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482945,463,18.5416596,73.7283435,-105,,9.2,1771750672639,0.1,0.0,546.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482961,463,18.5416451,73.7283598,-95,,8.7,1771750678112,0.4,102.4,546.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055888,33,18.5416118,73.7284116,-98,,9.6,1771750682854,1.1,121.6,546.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482961,463,18.5415801,73.7284509,-98,,10.4,1771750687379,1.1,123.0,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482961,463,18.5415465,73.7284954,-96,,11.0,1771750692014,1.2,121.8,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482961,463,18.5415103,73.7285485,-102,,11.3,1771750696755,1.2,120.9,546.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482961,463,18.541459,73.728552,-104,,12.3,1771750701634,1.2,174.4,546.3,35,Nothing_A142
